id_transaksi,id_seller,id_produk,tanggal,jam_transaksi,jenis_transaksi,kategori,qty,harga_satuan,total_harga,metode_pembayaran,event,diskon,status_transaksi,tahun,bulan,id_supplier,nama_produk,kategori_produk,harga_jual,harga_modal,stok_awal,minimum_stok,status_produk,tanggal_input_produk,nama_usaha,jenis_usaha,lokasi_usaha,tanggal_bergabung
T000022,U002,P007,2026-06-05,08:56,Pemasukan,Sembako,7,70000,490000,Cash,Tidak Ada Event,0,Berhasil,2026,6,S002,Beras,Sembako,70000,60000,2907,581,aktif,2024-03-10,Warung Madura,Retail,Cimahi,2024-03-01
T000023,U005,P033,2026-07-21,13:59,Pemasukan,Laundry,7,12000,84000,QRIS,Tidak Ada Event,0,Berhasil,2026,7,S005,Pewangi,Laundry,12000,6000,2635,527,aktif,2025-02-06,CleanWash,Laundry,Bandung,2025-02-01
T000024,U006,P040,2026-03-04,17:20,Pemasukan,Fashion,1,50000,50000,Transfer,Ramadan,0,Berhasil,2026,3,S006,Topi,Fashion,50000,25000,412,82,stok_menipis,2025-05-07,Thrift Hub,Fashion,Bandung,2025-05-01
T000024,U006,P036,2026-03-04,17:20,Pemasukan,Fashion,2,150000,300000,Transfer,Ramadan,0,Berhasil,2026,3,S006,Jaket Kulit,Fashion,150000,90000,534,107,aktif,2025-05-12,Thrift Hub,Fashion,Bandung,2025-05-01
T000025,U003,P020,2024-09-23,15:23,Pemasukan,Makanan,1,15000,15000,QRIS,Tidak Ada Event,0,Berhasil,2024,9,S003,Ketoprak,Makanan,15000,8000,896,179,stok_menipis,2024-07-19,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000025,U003,P024,2024-09-23,15:23,Pemasukan,Frozen Food,5,22000,110000,QRIS,Tidak Ada Event,0,Berhasil,2024,9,S008,Dimsum Frozen,Frozen Food,22000,12000,914,183,aktif,2024-07-21,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000026,U006,P038,2025-08-15,12:16,Pemasukan,Fashion,1,75000,75000,QRIS,Tidak Ada Event,0,Berhasil,2025,8,S006,Kaos Polo,Fashion,75000,40000,434,87,aktif,2025-05-10,Thrift Hub,Fashion,Bandung,2025-05-01
T000027,U002,P010,2025-08-23,15:31,Pemasukan,Sembako,1,12000,12000,QRIS,Tidak Ada Event,0,Berhasil,2025,8,S002,Kecap,Sembako,12000,8000,2513,503,aktif,2024-03-15,Warung Madura,Retail,Cimahi,2024-03-01
T000027,U002,P006,2025-08-23,15:31,Pemasukan,Sembako,3,18000,54000,QRIS,Tidak Ada Event,0,Berhasil,2025,8,S002,Minyak,Sembako,18000,14000,3534,707,aktif,2024-03-05,Warung Madura,Retail,Cimahi,2024-03-01
T000028,U003,P018,2024-12-27,19:35,Pemasukan,Makanan,5,25000,125000,Transfer,Tidak Ada Event,0,Berhasil,2024,12,S003,Sate Ayam,Makanan,25000,13000,970,194,aktif,2024-07-29,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000029,U003,P016,2026-03-03,20:09,Pemasukan,Makanan,2,35000,70000,Cash,3.3 Sale,0,Berhasil,2026,3,S003,Steak Ayam,Makanan,35000,18000,1070,214,aktif,2024-07-16,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000029,U003,P021,2026-03-03,20:09,Pemasukan,Frozen Food,1,18000,18000,Cash,3.3 Sale,0,Berhasil,2026,3,S008,Nugget,Frozen Food,18000,9000,938,188,aktif,2024-07-29,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000030,U005,P032,2026-03-24,17:47,Pemasukan,Laundry,6,15000,85500,QRIS,Lebaran,5,Berhasil,2026,3,S005,Pemutih,Laundry,15000,8000,4148,830,aktif,2025-02-02,CleanWash,Laundry,Bandung,2025-02-01
T000030,U005,P034,2026-03-24,17:47,Pemasukan,Laundry,7,7000,46550,QRIS,Lebaran,5,Berhasil,2026,3,S005,Cuci Kiloan,Laundry,7000,3000,4294,859,aktif,2025-02-11,CleanWash,Laundry,Bandung,2025-02-01
T000030,U005,P031,2026-03-24,17:47,Pemasukan,Laundry,4,12000,45600,QRIS,Lebaran,5,Berhasil,2026,3,S005,Deterjen,Laundry,12000,7000,2614,523,aktif,2025-02-14,CleanWash,Laundry,Bandung,2025-02-01
T000030,U005,P033,2026-03-24,17:47,Pemasukan,Laundry,2,12000,22800,QRIS,Lebaran,5,Berhasil,2026,3,S005,Pewangi,Laundry,12000,6000,2635,527,aktif,2025-02-06,CleanWash,Laundry,Bandung,2025-02-01
T000031,U001,P002,2026-08-30,19:12,Pemasukan,Minuman,2,20000,40000,Cash,Tidak Ada Event,0,Berhasil,2026,8,S001,Latte,Minuman,20000,10000,825,165,aktif,2024-01-15,Warkop GenZ,Kafe,Bandung,2024-01-10
T000031,U001,P005,2026-08-30,19:12,Pemasukan,Minuman,3,5000,15000,Cash,Tidak Ada Event,0,Berhasil,2026,8,S007,Air Mineral,Minuman,5000,2500,715,143,aktif,2024-01-11,Warkop GenZ,Kafe,Bandung,2024-01-10
T000031,U001,P001,2026-08-30,19:12,Pemasukan,Minuman,3,15000,45000,Cash,Tidak Ada Event,0,Berhasil,2026,8,S001,Americano,Minuman,15000,7000,757,151,aktif,2024-01-21,Warkop GenZ,Kafe,Bandung,2024-01-10
T000032,U005,P033,2026-03-17,18:53,Pemasukan,Laundry,3,12000,32400,Cash,Ramadan,10,Berhasil,2026,3,S005,Pewangi,Laundry,12000,6000,2635,527,aktif,2025-02-06,CleanWash,Laundry,Bandung,2025-02-01
T000033,U003,P025,2024-08-23,13:38,Pemasukan,Frozen Food,5,25000,125000,Cash,Tidak Ada Event,0,Berhasil,2024,8,S008,Bakso Frozen,Frozen Food,25000,13000,1399,280,aktif,2024-07-27,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000034,U005,P035,2025-08-14,12:02,Pemasukan,Laundry,7,25000,175000,Transfer,Tidak Ada Event,0,Berhasil,2025,8,S005,Dry Cleaning,Laundry,25000,12000,3842,768,aktif,2025-02-05,CleanWash,Laundry,Bandung,2025-02-01
T000034,U005,P032,2025-08-14,12:02,Pemasukan,Laundry,6,15000,90000,Transfer,Tidak Ada Event,0,Berhasil,2025,8,S005,Pemutih,Laundry,15000,8000,4148,830,aktif,2025-02-02,CleanWash,Laundry,Bandung,2025-02-01
T000034,U005,P034,2025-08-14,12:02,Pemasukan,Laundry,2,7000,14000,Transfer,Tidak Ada Event,0,Berhasil,2025,8,S005,Cuci Kiloan,Laundry,7000,3000,4294,859,aktif,2025-02-11,CleanWash,Laundry,Bandung,2025-02-01
T000035,U003,P018,2025-12-16,16:42,Pemasukan,Makanan,2,25000,50000,QRIS,Tidak Ada Event,0,Berhasil,2025,12,S003,Sate Ayam,Makanan,25000,13000,970,194,aktif,2024-07-29,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000036,U004,P026,2026-08-25,17:57,Pemasukan,Bakery,3,18000,54000,QRIS,Tidak Ada Event,0,Berhasil,2026,8,S004,Croissant,Bakery,18000,9000,825,165,aktif,2024-10-11,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000036,U004,P028,2026-08-25,17:57,Pemasukan,Bakery,3,15000,45000,QRIS,Tidak Ada Event,0,Berhasil,2026,8,S004,Dorayaki,Bakery,15000,7000,638,128,stok_menipis,2024-10-08,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000037,U004,P030,2026-08-23,09:32,Pemasukan,Bakery,3,28000,84000,Cash,Tidak Ada Event,0,Berhasil,2026,8,S004,Cheesecake,Bakery,28000,14000,666,133,aktif,2024-10-12,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000038,U002,P013,2025-11-26,10:51,Pemasukan,Snack,5,15000,75000,QRIS,Tidak Ada Event,0,Berhasil,2025,11,S004,Silverqueen,Snack,15000,9000,1544,309,aktif,2024-03-14,Warung Madura,Retail,Cimahi,2024-03-01
T000039,U001,P004,2026-07-30,21:56,Pemasukan,Minuman,2,10000,20000,Cash,Tidak Ada Event,0,Berhasil,2026,7,S007,Coca-cola,Minuman,10000,5000,744,149,aktif,2024-01-19,Warkop GenZ,Kafe,Bandung,2024-01-10
T000039,U001,P005,2026-07-30,21:56,Pemasukan,Minuman,1,5000,5000,Cash,Tidak Ada Event,0,Berhasil,2026,7,S007,Air Mineral,Minuman,5000,2500,715,143,aktif,2024-01-11,Warkop GenZ,Kafe,Bandung,2024-01-10
T000040,U001,P001,2026-05-29,19:11,Pemasukan,Minuman,2,15000,30000,Cash,Tidak Ada Event,0,Berhasil,2026,5,S001,Americano,Minuman,15000,7000,757,151,aktif,2024-01-21,Warkop GenZ,Kafe,Bandung,2024-01-10
T000040,U001,P004,2026-05-29,19:11,Pengeluaran,Minuman,3,10000,30000,Cash,Tidak Ada Event,0,Berhasil,2026,5,S007,Coca-cola,Minuman,10000,5000,744,149,aktif,2024-01-19,Warkop GenZ,Kafe,Bandung,2024-01-10
T000041,U004,P027,2026-06-20,17:57,Pemasukan,Bakery,4,22000,83600,Cash,Tidak Ada Event,5,Berhasil,2026,6,S004,Cinnamon Roll,Bakery,22000,12000,625,125,aktif,2024-10-13,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000041,U004,P029,2026-06-20,17:57,Pemasukan,Bakery,2,12000,22800,Cash,Tidak Ada Event,5,Berhasil,2026,6,S004,Kue Balok,Bakery,12000,6000,852,170,aktif,2024-10-12,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000042,U003,P020,2026-09-07,20:31,Pemasukan,Makanan,2,15000,30000,Cash,Tidak Ada Event,0,Berhasil,2026,9,S003,Ketoprak,Makanan,15000,8000,896,179,stok_menipis,2024-07-19,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000043,U003,P019,2026-01-19,13:08,Pemasukan,Makanan,1,28000,28000,QRIS,Tidak Ada Event,0,Berhasil,2026,1,S003,Soto Betawi,Makanan,28000,15000,671,134,aktif,2024-07-27,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000044,U003,P025,2026-01-21,19:26,Pemasukan,Frozen Food,5,25000,118750,QRIS,Tidak Ada Event,5,Berhasil,2026,1,S008,Bakso Frozen,Frozen Food,25000,13000,1399,280,aktif,2024-07-27,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000044,U003,P016,2026-01-21,19:26,Pengeluaran,Makanan,1,35000,33250,QRIS,Tidak Ada Event,5,Berhasil,2026,1,S003,Steak Ayam,Makanan,35000,18000,1070,214,aktif,2024-07-16,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000045,U003,P025,2026-08-25,18:54,Pemasukan,Frozen Food,4,25000,100000,QRIS,Tidak Ada Event,0,Berhasil,2026,8,S008,Bakso Frozen,Frozen Food,25000,13000,1399,280,aktif,2024-07-27,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000045,U003,P019,2026-08-25,18:54,Pemasukan,Makanan,4,28000,112000,QRIS,Tidak Ada Event,0,Berhasil,2026,8,S003,Soto Betawi,Makanan,28000,15000,671,134,aktif,2024-07-27,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000046,U004,P027,2025-09-10,16:43,Pemasukan,Bakery,4,22000,88000,QRIS,Tidak Ada Event,0,Berhasil,2025,9,S004,Cinnamon Roll,Bakery,22000,12000,625,125,aktif,2024-10-13,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000046,U004,P026,2025-09-10,16:43,Pemasukan,Bakery,1,18000,18000,QRIS,Tidak Ada Event,0,Berhasil,2025,9,S004,Croissant,Bakery,18000,9000,825,165,aktif,2024-10-11,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000047,U004,P028,2025-02-16,13:11,Pemasukan,Bakery,3,15000,45000,QRIS,Tidak Ada Event,0,Berhasil,2025,2,S004,Dorayaki,Bakery,15000,7000,638,128,stok_menipis,2024-10-08,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000048,U004,P030,2025-07-12,18:53,Pemasukan,Bakery,3,28000,79800,QRIS,Tidak Ada Event,5,Berhasil,2025,7,S004,Cheesecake,Bakery,28000,14000,666,133,aktif,2024-10-12,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000048,U004,P026,2025-07-12,18:53,Pemasukan,Bakery,1,18000,17100,QRIS,Tidak Ada Event,5,Berhasil,2025,7,S004,Croissant,Bakery,18000,9000,825,165,aktif,2024-10-11,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000049,U006,P039,2025-06-11,10:15,Pemasukan,Fashion,1,120000,120000,QRIS,Tidak Ada Event,0,Berhasil,2025,6,S006,Celana Cargo,Fashion,120000,70000,759,152,aktif,2025-05-08,Thrift Hub,Fashion,Bandung,2025-05-01
T000050,U002,P007,2026-10-09,18:16,Pemasukan,Sembako,5,70000,350000,Transfer,Tidak Ada Event,0,Berhasil,2026,10,S002,Beras,Sembako,70000,60000,2907,581,aktif,2024-03-10,Warung Madura,Retail,Cimahi,2024-03-01
T000050,U002,P008,2026-10-09,18:16,Pengeluaran,Sembako,1,16000,16000,Transfer,Tidak Ada Event,0,Berhasil,2026,10,S002,Gula,Sembako,16000,12000,3616,723,aktif,2024-03-13,Warung Madura,Retail,Cimahi,2024-03-01
T000051,U005,P032,2026-12-26,14:25,Pemasukan,Laundry,5,15000,75000,Transfer,Tidak Ada Event,0,Berhasil,2026,12,S005,Pemutih,Laundry,15000,8000,4148,830,aktif,2025-02-02,CleanWash,Laundry,Bandung,2025-02-01
T000051,U005,P031,2026-12-26,14:25,Pemasukan,Laundry,2,12000,24000,Transfer,Tidak Ada Event,0,Berhasil,2026,12,S005,Deterjen,Laundry,12000,7000,2614,523,aktif,2025-02-14,CleanWash,Laundry,Bandung,2025-02-01
T000052,U005,P033,2025-03-15,13:34,Pemasukan,Laundry,7,12000,84000,QRIS,Ramadan,0,Berhasil,2025,3,S005,Pewangi,Laundry,12000,6000,2635,527,aktif,2025-02-06,CleanWash,Laundry,Bandung,2025-02-01
T000052,U005,P031,2025-03-15,13:34,Pemasukan,Laundry,2,12000,24000,QRIS,Ramadan,0,Berhasil,2025,3,S005,Deterjen,Laundry,12000,7000,2614,523,aktif,2025-02-14,CleanWash,Laundry,Bandung,2025-02-01
T000053,U003,P020,2026-04-26,19:45,Pemasukan,Makanan,4,15000,60000,QRIS,Tidak Ada Event,0,Berhasil,2026,4,S003,Ketoprak,Makanan,15000,8000,896,179,stok_menipis,2024-07-19,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000053,U003,P024,2026-04-26,19:45,Pemasukan,Frozen Food,5,22000,110000,QRIS,Tidak Ada Event,0,Berhasil,2026,4,S008,Dimsum Frozen,Frozen Food,22000,12000,914,183,aktif,2024-07-21,Dapur Nusantara,Kuliner,Garut,2024-07-15
T000054,U002,P012,2024-08-25,11:56,Pemasukan,Snack,1,18000,18000,Cash,Tidak Ada Event,0,Berhasil,2024,8,S004,Pringles,Snack,18000,9000,1359,272,aktif,2024-03-06,Warung Madura,Retail,Cimahi,2024-03-01
T000054,U002,P011,2024-08-25,11:56,Pemasukan,Snack,3,12000,36000,Cash,Tidak Ada Event,0,Berhasil,2024,8,S004,Chitato,Snack,12000,7000,1914,383,aktif,2024-03-04,Warung Madura,Retail,Cimahi,2024-03-01
T000055,U002,P010,2026-02-25,19:16,Pemasukan,Sembako,1,12000,11400,QRIS,Ramadan,5,Berhasil,2026,2,S002,Kecap,Sembako,12000,8000,2513,503,aktif,2024-03-15,Warung Madura,Retail,Cimahi,2024-03-01
T000055,U002,P014,2026-02-25,19:16,Pemasukan,Snack,2,14000,26600,QRIS,Ramadan,5,Berhasil,2026,2,S004,Cookies,Snack,14000,7000,1299,260,aktif,2024-03-08,Warung Madura,Retail,Cimahi,2024-03-01
T000056,U006,P039,2026-06-21,17:35,Pemasukan,Fashion,1,120000,120000,Transfer,Tidak Ada Event,0,Berhasil,2026,6,S006,Celana Cargo,Fashion,120000,70000,759,152,aktif,2025-05-08,Thrift Hub,Fashion,Bandung,2025-05-01
T000056,U006,P040,2026-06-21,17:35,Pemasukan,Fashion,1,50000,50000,Transfer,Tidak Ada Event,0,Berhasil,2026,6,S006,Topi,Fashion,50000,25000,412,82,stok_menipis,2025-05-07,Thrift Hub,Fashion,Bandung,2025-05-01
T000057,U002,P014,2025-11-18,17:37,Pemasukan,Snack,3,14000,42000,QRIS,Tidak Ada Event,0,Berhasil,2025,11,S004,Cookies,Snack,14000,7000,1299,260,aktif,2024-03-08,Warung Madura,Retail,Cimahi,2024-03-01
T000058,U004,P030,2025-07-05,10:16,Pemasukan,Bakery,2,28000,56000,QRIS,Tidak Ada Event,0,Berhasil,2025,7,S004,Cheesecake,Bakery,28000,14000,666,133,aktif,2024-10-12,Roti Bahagia,Bakery,Sumedang,2024-10-01
T000059,U006,P036,2026-09-08,14:46,Pemasukan,Fashion,1,150000,150000,Cash,Tidak Ada Event,0,Berhasil,2026,9,S006,Jaket Kulit,Fashion,150000,90000,534,107,aktif,2025-05-12,Thrift Hub,Fashion,Bandung,2025-05-01
T000060,U003,P016,2025-01-14,16:00,Pemasukan,Makanan,5,35000,175000,Transfer,Tidak Ada Event,0,Berhasil,2025,1,S003,Steak Ayam,Makanan,35000,18000,1070,214,aktif,2024-07-16,Dapur Nusantara,Kuliner,Garut,2024-07-15
